,nid,title,department,staff,time,text
0,10000,[國三升學]轉知臺南應用科技大學111學年度大學部七年一貫特色招生甄選入學招生資訊,教務處,註冊組幹事,2021-12-21 11:41:16,臺南應用科技大學111學年度大學部七年一貫特色招生甄選入學招生資訊臺南應用科技大學111學年度大學部七年一貫特色招生甄選入學招生資訊說明：說明：一、招生系別：美術系、音樂系、舞蹈系一、招生系別：美術系、音樂系、舞蹈系二、網路報名時間：111年2月9日至111年3月9日二、網路報名時間：111年2月9日至111年3月9日三、考試時間：111年3月26日三、考試時間：111年3月26日
1,10001,轉知：臺北醫學大學護理學系辦理「護理師體驗營」活動，詳附件。,活動組,活動幹事,2021-12-21 15:11:14,
2,10002,嚴重特殊傳染性肺炎中央流行疫情指揮中心為有效防範COVID-19 Delta 變異株之社區傳播，有關自國外入境之檢疫對象及確定病例之密切接觸者PCR採檢，請依說明段辦理，請查照。,衛生組,學創-衛生,2021-12-21 15:21:17,
3,10003,轉知：國立臺灣師範大學資訊工程學系辦理教育部運算思維推動計畫「高中海狸一日營」，報名截止時間延長至110年12月27日止，詳如附件。,活動組,活動幹事,2021-12-21 15:26:52,
4,10004,轉知：臺北立景美國中辦理「理工女孩站出來-理工生命學科分享與傳承座談」講座，請如說明。,活動組,活動幹事,2021-12-21 16:08:44,
5,10005,轉知：臺北醫學大學辦理勞動部「110年度產業新尖兵試辦計畫」之「國際健康管理行銷企劃人養成班」，詳說明。,活動組,活動幹事,2021-12-21 16:23:24,
6,10006,轉知：「教育部國民及學前教育署第四屆青少年諮詢會之青少年代表報名遴選簡章」，詳說明及附件。,活動組,活動幹事,2021-12-21 16:33:03,
7,10007,轉知-檢送各機關辦理公務人員考績（成）作業要點第21點修正總說明、對照表及修正後全文各1份,人事室,人事助理,2021-12-22 08:25:15,一、依據教育部110年12月14日臺教人(三)字第1100170790號函轉銓敘部110年12月9日部銓三字第11054065132號函辦理，並檢附原函影本1份。一、依據教育部110年12月14日臺教人(三)字第1100170790號函轉銓敘部110年12月9日部銓三字第11054065132號函辦理，並檢附原函影本1份。二、請各校辦理專案考績作業程序及110年度公務人員考績（成）作業相關事宜時，切實依現行公務人員考績法規及旨揭要點辦理。二、請各校辦理專案考績作業程序及110年度公務人員考績（成）作業相關事宜時，切實依現行公務人員考績法規及旨揭要點辦理。
8,10008,轉知-檢送銓敘部修正「各機關辦理公務人員考績(成)作業要點」第21點，並自110年12月9日生效,人事室,人事助理,2021-12-22 08:41:28,一、依教育部110年12月16日臺教人(三)字第1100171808號函轉銓敘部110年12月9日部銓三字第11054065131號令副本辦理，一、依教育部110年12月16日臺教人(三)字第1100171808號函轉銓敘部110年12月9日部銓三字第11054065131號令副本辦理，    並檢附修正令及修正規定影本1份。    並檢附修正令及修正規定影本1份。二、本署業以110年12月21日臺教國署人字第1100169467號函轉旨揭要點修正規定在案，併敘。二、本署業以110年12月21日臺教國署人字第1100169467號函轉旨揭要點修正規定在案，併敘。
9,10009,教育部「學科術語閩客語對譯成果」公開供大眾使用，請參閱。,教務處,實研幹事,2021-12-22 09:42:26,主旨：教育部「學科術語閩客語對譯成果」公開供大眾使用，請詳閱說明及附件。說明：一、為利本土語言沉浸式教學推動，營造校園中母語學習環境，教育部於106年起進行8大領域之學科術語閩南語及客家語編譯，         業完成編譯成果提供教學者及大眾參考運用，以利教學者進行跨學科教學。二、旨揭成果已公告於教育部語文成果網(https://language.moe.gov.tw/001/Upload/FILES/SITE_CONTENT/M0001/subject_mk/subjectterm.pdf)，         敬請協助推廣運用。三、檢附教育部公文1份供參。
10,10010,110學年度新住民語文遠距教學師資培訓課程(臺中場)資訊一案，請參閱。,教務處,實研幹事,2021-12-22 09:44:14,主旨：110學年度新住民語文遠距教學師資培訓課程(臺中場)資訊一案，請詳閱說明。說明：一、請貴校推薦及鼓勵優秀新住民教學支援人員報名本培訓課程。二、報名方式為即日起至111年1月5日(星期三)中午12時前填寫報名表單(https://forms.gle/p6aiTLwkJcFj2jQ78)完成報名。三、針對本案若有相關疑義，請逕洽財團法人商業研究院(商研院)陳小姐，電話02-7707-4965；蔡先生，電話02-7707-4964。
11,10011,110-1第16週整潔競賽成績,衛生組,學創-衛生,2021-12-22 10:24:13,"110-1第16週整潔競賽成績 國中部 國一   第一名 701    701    第二名705 國二     第一名 801    801    第二名804 國三     第一名 902    902    第二名903  高中部 高一     第一名 102    第二名101,106 高二     第一名 116    第二名115 高三     第一名 125    第二名123  "
12,10012,檢送「110學年度第1學期臺北市國民教育輔導團國中自然科學領域輔導小組辦理自然科學領域召集人回流工作坊實施計畫」1份,教務處,教學組幹事,2021-12-22 12:24:29,
13,10013,轉知-函轉有關教師法第26條第2項所稱「復議」之定義一案,人事室,人事助理,2021-12-22 15:00:07,一、依據110年12月20日臺教人(三)字第1100167388號函辦理。一、依據110年12月20日臺教人(三)字第1100167388號函辦理。二、查教師法第26條第2項規定：「高級中等以下學校教師涉有第14條至第16條或第18條規定之情形，學校教師評審二、查教師法第26條第2項規定：「高級中等以下學校教師涉有第14條至第16條或第18條規定之情形，學校教師評審    委員會未依規定召開、審議或決議，主管機關認有違法之虞時，應敘明理由交回學校審議或復議；屆期未依法審    委員會未依規定召開、審議或決議，主管機關認有違法之虞時，應敘明理由交回學校審議或復議；屆期未依法審    議或復議者，主管機關得敘明理由逕行提交教師專業審查會審議，並得追究學校相關人員責任。」    議或復議者，主管機關得敘明理由逕行提交教師專業審查會審議，並得追究學校相關人員責任。」三、前開規定所稱「復議」，係主管機關基於行政監督之立場，要求學校就教師評審委員會已決議案件重開行政程序三、前開規定所稱「復議」，係主管機關基於行政監督之立場，要求學校就教師評審委員會已決議案件重開行政程序    之規定，主管機關依該規定交回學校復議時，學校即應重行審議，依法作成新決議。    之規定，主管機關依該規定交回學校復議時，學校即應重行審議，依法作成新決議。四、檢附教育部原函。四、檢附教育部原函。
14,10014,轉知-國立暨南國際大學中國語文學系111學年度碩士班入學考試即將開始報名，檢送招生海報電子檔,人事室,人事助理,2021-12-22 15:33:01,一、報名期間：110年12月22日上午9時至111年1月17日下午3時(下午3時30分繳費截止)。一、報名期間：110年12月22日上午9時至111年1月17日下午3時(下午3時30分繳費截止)。二、筆試日期：111年2月20日(星期日)。二、筆試日期：111年2月20日(星期日)。三、筆試科目：中國文學史(僅筆試一科，免口試)。三、筆試科目：中國文學史(僅筆試一科，免口試)。
15,10015,[高三升學]轉知美和科大社會工作系日間部四技原住民族專班招生資訊,教務處,註冊組幹事,2021-12-22 16:38:54,轉知美和科大社會工作系日間部四技原住民族專班招生資訊轉知美和科大社會工作系日間部四技原住民族專班招生資訊
16,10016,[高三升學]轉知國立體育大學111學年度陸上、球類、技擊運動技術學系學士班單獨招生資訊,教務處,註冊組幹事,2021-12-23 08:31:32,轉知國立體育大學111學年度陸上、球類、技擊運動技術學系學士班單獨招生資訊轉知國立體育大學111學年度陸上、球類、技擊運動技術學系學士班單獨招生資訊說明：說明：一、網路報名日期：111年1月7日（星期五）上午9時至111年2月14日（星期一）下午2時。一、網路報名日期：111年1月7日（星期五）上午9時至111年2月14日（星期一）下午2時。二、術科測驗日期：除射擊飛靶項目於111年3月5日考試，擊劍項目於111年3月7日考試，男子棒球項目於111年3月11日考試外，其餘項目皆於111年3月4日（星期五）辦理。二、術科測驗日期：除射擊飛靶項目於111年3月5日考試，擊劍項目於111年3月7日考試，男子棒球項目於111年3月11日考試外，其餘項目皆於111年3月4日（星期五）辦理。三、簡章免費下載，相關招生資訊請參閱該校招生訊息網頁（網址：http://exam.ntsu.edu.tw）三、簡章免費下載，相關招生資訊請參閱該校招生訊息網頁（網址：http://exam.ntsu.edu.tw）
17,10017,明日12月24日的葷食副菜「搖搖薯球」更改為「薯條」,衛生組,學創-衛生,2021-12-23 13:47:33,學校通知：明日12月24日的葷食副菜「搖搖薯球」，因供貨不足，需更改菜色，故將副菜更改為「薯條」，造成不便，敬請見諒．
18,10018,教育局辦理 「臺北市111學年度國際交換學生學習實施計畫」，請各校提醒擬參加甄選美國交換之學生，應於110年12月27日前至本局評選之代辦公司完成ELTiS英語測驗檢定，逾期恕無法受理,訓育組,訓育幹事,2021-12-23 15:34:55,
19,10019,臺北市兒童新樂園自111年1月24日(週一)起，全面恢復正常營運時段,訓育組,訓育幹事,2021-12-23 15:41:20,
